app_id,app_name,service_id,service_name,replica_index,node_id
APP-COM,Communication,COM-S01,Voice Communication Core,1,UAV-327
APP-TEL,Telemetry,TEL-S03,Hazard Detection Engine,1,UAV-294
APP-TEL,Telemetry,TEL-S05,Weather Data Processing,1,UAV-131
APP-COM,Communication,COM-S04,Bivouac Broadband,1,UAV-324
APP-EME,Emergency,EME-S05,Vital Signs Streaming,1,UAV-098
APP-COM,Communication,COM-S01,Voice Communication Core,2,UAV-328
APP-RET,Broadcasting,RET-S04,Low-latency Social Stream,1,UAV-163
APP-COM,Communication,COM-S02,Push-to-Talk Group,1,UAV-197
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,1,UAV-044
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,1,UAV-296
APP-RET,Broadcasting,RET-S04,Low-latency Social Stream,2,UAV-009
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,1,UAV-235
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,2,UAV-120
APP-TEL,Telemetry,TEL-S02,Data Aggregation,1,UAV-169
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,1,UAV-155
APP-TEL,Telemetry,TEL-S05,Weather Data Processing,2,UAV-282
APP-EME,Emergency,EME-S05,Vital Signs Streaming,2,UAV-036
APP-COM,Communication,COM-S03,Data Messaging,1,UAV-190
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,3,UAV-311
APP-TEL,Telemetry,TEL-S04,Historical Storage,1,UAV-017
APP-RET,Broadcasting,RET-S01,Video Encoding (H.265),1,UAV-290
APP-COM,Communication,COM-S02,Push-to-Talk Group,2,UAV-304
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,1,UAV-195
APP-SYS,System,SYS-S02,Network Monitoring,1,UAV-089
APP-SYS,System,SYS-S01,Network Orchestrator,1,UAV-051
APP-COM,Communication,COM-S01,Voice Communication Core,3,UAV-154
APP-RET,Broadcasting,RET-S01,Video Encoding (H.265),2,UAV-308
APP-EME,Emergency,EME-S05,Vital Signs Streaming,3,UAV-199
APP-COM,Communication,COM-S02,Push-to-Talk Group,3,UAV-072
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,2,UAV-035
APP-COM,Communication,COM-S03,Data Messaging,2,UAV-129
APP-COM,Communication,COM-S01,Voice Communication Core,4,UAV-031
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,2,UAV-152
APP-COM,Communication,COM-S03,Data Messaging,3,UAV-167
APP-COM,Communication,COM-S01,Voice Communication Core,5,UAV-032
APP-EME,Emergency,EME-S05,Vital Signs Streaming,4,UAV-298
APP-COM,Communication,COM-S03,Data Messaging,4,UAV-086
APP-EME,Emergency,EME-S02,Alert Routing & Prioritization,1,UAV-116
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,4,UAV-111
APP-EME,Emergency,EME-S05,Vital Signs Streaming,5,UAV-142
APP-EME,Emergency,EME-S02,Alert Routing & Prioritization,2,UAV-056
APP-EME,Emergency,EME-S02,Alert Routing & Prioritization,3,UAV-173
APP-RET,Broadcasting,RET-S03,Stream Distributor,1,UAV-103
APP-COM,Communication,COM-S01,Voice Communication Core,6,UAV-016
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,5,UAV-193
APP-EME,Emergency,EME-S05,Vital Signs Streaming,6,UAV-101
APP-EME,Emergency,EME-S05,Vital Signs Streaming,7,UAV-201
APP-COM,Communication,COM-S03,Data Messaging,5,UAV-145
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,2,UAV-292
APP-TEL,Telemetry,TEL-S02,Data Aggregation,2,UAV-064
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,3,UAV-305
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,3,UAV-023
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,4,UAV-144
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,2,UAV-243
APP-COM,Communication,COM-S02,Push-to-Talk Group,4,UAV-121
APP-COM,Communication,COM-S01,Voice Communication Core,7,UAV-024
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,3,UAV-008
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,3,UAV-320
APP-EME,Emergency,EME-S02,Alert Routing & Prioritization,4,UAV-070
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,5,UAV-046
APP-TEL,Telemetry,TEL-S05,Weather Data Processing,3,UAV-102
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,4,UAV-238
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,4,UAV-104
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,5,HAPS-002
APP-TEL,Telemetry,TEL-S02,Data Aggregation,3,UAV-267
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,6,UAV-266
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,6,UAV-218
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,5,UAV-270
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,7,UAV-157
APP-COM,Communication,COM-S01,Voice Communication Core,8,UAV-268
APP-COM,Communication,COM-S02,Push-to-Talk Group,5,UAV-288
APP-TEL,Telemetry,TEL-S05,Weather Data Processing,4,UAV-303
APP-COM,Communication,COM-S02,Push-to-Talk Group,6,UAV-087
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,6,UAV-149
APP-EME,Emergency,EME-S02,Alert Routing & Prioritization,5,UAV-216
APP-EME,Emergency,EME-S02,Alert Routing & Prioritization,6,UAV-236
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,8,UAV-075
APP-COM,Communication,COM-S02,Push-to-Talk Group,7,UAV-283
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,7,UAV-202
APP-TEL,Telemetry,TEL-S02,Data Aggregation,4,UAV-314
APP-COM,Communication,COM-S03,Data Messaging,6,UAV-041
APP-COM,Communication,COM-S02,Push-to-Talk Group,8,UAV-137
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,9,UAV-289
APP-TEL,Telemetry,TEL-S05,Weather Data Processing,5,UAV-091
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,10,UAV-228
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,8,UAV-261
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,6,UAV-004
APP-TEL,Telemetry,TEL-S02,Data Aggregation,5,UAV-057
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,9,UAV-094
APP-TEL,Telemetry,TEL-S02,Data Aggregation,6,UAV-196
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,4,UAV-178
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,7,UAV-053
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,5,UAV-082
APP-EME,Emergency,EME-S02,Alert Routing & Prioritization,7,UAV-092
APP-TEL,Telemetry,TEL-S05,Weather Data Processing,6,UAV-310
APP-COM,Communication,COM-S03,Data Messaging,7,UAV-022
APP-COM,Communication,COM-S01,Voice Communication Core,9,UAV-297
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,6,UAV-097
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,7,UAV-029
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,7,UAV-058
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,8,UAV-237
APP-COM,Communication,COM-S01,Voice Communication Core,10,UAV-071
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,10,UAV-175
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,9,UAV-213
APP-TEL,Telemetry,TEL-S05,Weather Data Processing,7,UAV-067
APP-COM,Communication,COM-S02,Push-to-Talk Group,9,UAV-176
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,8,UAV-060
APP-TEL,Telemetry,TEL-S02,Data Aggregation,7,UAV-083
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,10,UAV-217
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,11,UAV-132
APP-COM,Communication,COM-S02,Push-to-Talk Group,10,UAV-063
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,11,UAV-118
APP-COM,Communication,COM-S03,Data Messaging,8,UAV-171
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,9,UAV-307
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,10,UAV-160
APP-COM,Communication,COM-S03,Data Messaging,9,UAV-006
APP-COM,Communication,COM-S01,Voice Communication Core,11,UAV-207
APP-TEL,Telemetry,TEL-S02,Data Aggregation,8,UAV-005
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,11,UAV-241
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,12,UAV-088
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,12,UAV-007
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,13,UAV-316
APP-COM,Communication,COM-S02,Push-to-Talk Group,11,UAV-159
APP-COM,Communication,COM-S01,Voice Communication Core,12,UAV-215
APP-TEL,Telemetry,TEL-S02,Data Aggregation,9,UAV-259
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,12,UAV-068
APP-TEL,Telemetry,TEL-S02,Data Aggregation,10,UAV-185
APP-COM,Communication,COM-S01,Voice Communication Core,13,UAV-003
APP-COM,Communication,COM-S02,Push-to-Talk Group,12,UAV-084
APP-COM,Communication,COM-S01,Voice Communication Core,14,UAV-203
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,13,UAV-332
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,13,UAV-229
APP-TEL,Telemetry,TEL-S02,Data Aggregation,11,UAV-028
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,11,UAV-113
APP-TEL,Telemetry,TEL-S02,Data Aggregation,12,UAV-130
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,14,UAV-257
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,14,UAV-168
APP-COM,Communication,COM-S01,Voice Communication Core,15,UAV-220
APP-TEL,Telemetry,TEL-S02,Data Aggregation,13,UAV-323
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,14,UAV-274
APP-COM,Communication,COM-S02,Push-to-Talk Group,13,UAV-166
APP-COM,Communication,COM-S03,Data Messaging,10,UAV-240
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,15,UAV-205
APP-TEL,Telemetry,TEL-S02,Data Aggregation,14,UAV-245
APP-COM,Communication,COM-S01,Voice Communication Core,16,UAV-180
APP-COM,Communication,COM-S01,Voice Communication Core,17,UAV-040
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,15,UAV-330
APP-TEL,Telemetry,TEL-S02,Data Aggregation,15,UAV-119
APP-COM,Communication,COM-S01,Voice Communication Core,18,UAV-221
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,12,UAV-030
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,16,UAV-265
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,16,UAV-015
APP-COM,Communication,COM-S02,Push-to-Talk Group,14,UAV-122
APP-TEL,Telemetry,TEL-S02,Data Aggregation,16,UAV-019
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,17,UAV-018
APP-COM,Communication,COM-S01,Voice Communication Core,19,UAV-244
APP-COM,Communication,COM-S03,Data Messaging,11,UAV-156
APP-COM,Communication,COM-S01,Voice Communication Core,20,UAV-012
APP-COM,Communication,COM-S02,Push-to-Talk Group,15,UAV-059
APP-COM,Communication,COM-S02,Push-to-Talk Group,16,UAV-076
APP-COM,Communication,COM-S02,Push-to-Talk Group,17,UAV-219
APP-COM,Communication,COM-S02,Push-to-Talk Group,18,UAV-186
APP-COM,Communication,COM-S02,Push-to-Talk Group,19,UAV-002
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,13,UAV-262
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,17,UAV-080
APP-TEL,Telemetry,TEL-S02,Data Aggregation,17,UAV-151
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,18,UAV-242
APP-COM,Communication,COM-S02,Push-to-Talk Group,20,UAV-198
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,18,UAV-258
APP-COM,Communication,COM-S01,Voice Communication Core,21,UAV-039
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,19,UAV-093
APP-COM,Communication,COM-S02,Push-to-Talk Group,21,UAV-210
APP-COM,Communication,COM-S03,Data Messaging,12,UAV-048
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,19,UAV-153
APP-COM,Communication,COM-S02,Push-to-Talk Group,22,UAV-177
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,20,UAV-161
APP-COM,Communication,COM-S01,Voice Communication Core,22,UAV-074
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,21,UAV-209
APP-COM,Communication,COM-S02,Push-to-Talk Group,23,UAV-025
APP-TEL,Telemetry,TEL-S02,Data Aggregation,18,UAV-127
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,22,UAV-043
APP-TEL,Telemetry,TEL-S02,Data Aggregation,19,UAV-126
APP-COM,Communication,COM-S02,Push-to-Talk Group,24,UAV-225
APP-COM,Communication,COM-S01,Voice Communication Core,23,HAPS-001
APP-COM,Communication,COM-S01,Voice Communication Core,24,UAV-278
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,14,UAV-208
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,15,UAV-318
APP-TEL,Telemetry,TEL-S02,Data Aggregation,20,UAV-073
APP-COM,Communication,COM-S02,Push-to-Talk Group,25,UAV-211
